Id;Title;Distributor;Genre
307;Just Go With It;Sony Pictures;Romantic-Comedy
308;Zookeeper;Sony Pictures;Romantic-Comedy
309;No Strings Attached;Paramount Pictures;Romantic-Comedy
310;Midnight in Paris;Sony Pictures Cla…;Romantic-Comedy
311;Friends with Benefits;Sony Pictures;Romantic-Comedy
312;New Yearâs Eve;Warner Bros.;Romantic-Comedy
313;Something Borrowed;Warner Bros.;Romantic-Comedy
314;Jumping the Broom;Sony Pictures;Romantic-Comedy
315;Larry Crowne;Universal;Romantic-Comedy
316;Arthur;Warner Bros.;Romantic-Comedy
317;Monte Carlo;20th Century Fox;Romantic-Comedy
318;What's Your Number?;20th Century Fox;Romantic-Comedy
319;How Do You Know?;Sony Pictures;Romantic-Comedy
320;From Prada to Nada;Lionsgate;Romantic-Comedy
321;The Art of Getting By;Fox Searchlight;Romantic-Comedy
322;No Eres Tu, Soy Yo;Lionsgate;Romantic-Comedy
323;The Heart Specialist;Freestyle Releasing;Romantic-Comedy
324;Mere Brother Ki Dulhan;Yash Raj Films;Romantic-Comedy
325;Life as We Know It;Warner Bros.;Romantic-Comedy
326;Joueuse;Zeitgeist;Romantic-Comedy
327;Jihne Mera Dil Luteya;Viva Entertainment;Romantic-Comedy
328;Thank You;UTV Communications;Romantic-Comedy
329;Happythankyoumoreplease;Anchor Bay Entert…;Romantic-Comedy
330;La Bonheur des autres;Entertainment One;Romantic-Comedy
331;35 and Ticking;Image Entertainment;Romantic-Comedy
332;When Harry Tries to Marry;108 Pics;Romantic-Comedy
333;Love in Space;China Lion Film D…;Romantic-Comedy
334;Waiting for Forever;Freestyle Releasing;Romantic-Comedy
335;Ceremony;Magnolia Pictures;Romantic-Comedy
336;Allâs Faire in Love;Hannover House;Romantic-Comedy
337;Griff the Invisible;Indomina Releasing;Romantic-Comedy
338;Feed the Fish;Strand;Romantic-Comedy
339;A Bird of the Air;Paladin;Romantic-Comedy
340;Chalet Girl;IFC Films;Romantic-Comedy
342;Think Like a Man;Sony Pictures;Romantic-Comedy
343;Hope Springs;Sony Pictures;Romantic-Comedy
344;This Means War;20th Century Fox;Romantic-Comedy
345;What to Expect When You're …;Lionsgate;Romantic-Comedy
346;The Five-Year Engagement;Universal;Romantic-Comedy
347;To Rome with Love;Sony Pictures Cla…;Romantic-Comedy
348;Playing for Keeps;FilmDistrict;Romantic-Comedy
349;New Yearâs Eve;Warner Bros.;Romantic-Comedy
350;Friends with Kids;Roadside Attractions;Romantic-Comedy
351;Celeste and Jesse Forever;Sony Pictures Cla…;Romantic-Comedy
352;Barfi;UTV Communications;Romantic-Comedy
353;Ruby Sparks;Fox Searchlight;Romantic-Comedy
354;Hysteria;Sony Pictures Cla…;Romantic-Comedy
355;Ek Main Aur Ekk Tu;UTV Communications;Romantic-Comedy
356;Cocktail;Eros Entertainment;Romantic-Comedy
357;Teri Meri Kahaani;Eros Entertainment;Romantic-Comedy
358;2 Days in New York;Magnolia Pictures;Romantic-Comedy
359;Midnight in Paris;Sony Pictures Cla…;Romantic-Comedy
360;Student of the Year;Eros Entertainment;Romantic-Comedy
361;Tere Naal Love Ho Gaya;UTV Communications;Romantic-Comedy
362;Jodi Breakers;Yash Raj Films;Romantic-Comedy
363;Aiyyaa;UTV Communications;Romantic-Comedy
364;The First Time ;Samuel Goldwyn Films;Romantic-Comedy
365;Take Me Home;Monterey Media;Romantic-Comedy
366;A Little Bit of Heaven;Alchemy;Romantic-Comedy
367;The Giant Mechanical Man;TriBeca Films;Romantic-Comedy
368;Save the Date;IFC Films;Romantic-Comedy
369;Tonight You're Mine;Roadside Attractions;Romantic-Comedy
370;Vamps;Anchor Bay Entert…;Romantic-Comedy
371;Cheerful Weather for the We…;IFC Films;Romantic-Comedy
373;Warm Bodies;Lionsgate;Romantic-Comedy
374;Don Jon;Relativity;Romantic-Comedy
375;The Big Wedding;Lionsgate;Romantic-Comedy
376;Baggage Claim;Fox Searchlight;Romantic-Comedy
377;Admission;Focus Features;Romantic-Comedy
378;About Time;Universal;Romantic-Comedy
379;Pulling Strings;Lionsgate;Romantic-Comedy
380;Chennai Express;UTV Communications;Romantic-Comedy
381;Much Ado About Nothing;Roadside Attractions;Romantic-Comedy
382;Austenland;Sony Pictures Cla…;Romantic-Comedy
383;Den skaldede frisÃ¸r;Sony Pictures Cla…;Romantic-Comedy
384;Besharam;Reliance Big Pict…;Romantic-Comedy
385;Shuddh Desi Romance;Yash Raj Films;Romantic-Comedy
386;Playing for Keeps;FilmDistrict;Romantic-Comedy
387;Upside Down;Alchemy;Romantic-Comedy
388;Jewtopia;Le Petit Canyon P…;Romantic-Comedy
389;I Give It a Year;Magnolia Pictures;Romantic-Comedy
390;A Wedding Invitation;CJ Entertainment;Romantic-Comedy
391;Dorfman in Love;Brainstorm Media;Romantic-Comedy
392;Shanghai Calling;Starz Media;Romantic-Comedy
393;200 Cartas;Vanguardia Films;Romantic-Comedy
394;Red Flag;TriBeca Films;Romantic-Comedy
395;Sparrows Dance;TriBeca Films;Romantic-Comedy
396;La stratÃ©gie de la poussette;Rialto Pictures;Romantic-Comedy
398;Think Like a Man Too;Sony Pictures;Romantic-Comedy
399;About Last Night;Sony Pictures;Romantic-Comedy
400;Blended;Warner Bros.;Romantic-Comedy
401;That Awkward Moment;FilmDistrict;Romantic-Comedy
402;Magic in the Moonlight;Sony Pictures Cla…;Romantic-Comedy
403;What If;CBS Films;Romantic-Comedy
404;Obvious Child;A24;Romantic-Comedy
405;Words and Pictures;Roadside Attractions;Romantic-Comedy
406;Hector and the Search for H…;Relativity;Romantic-Comedy
407;Khoobsurat;UTV Communications;Romantic-Comedy
408;Finding Fanny;FIP;Romantic-Comedy
409;The One I Love;RADiUS-TWC;Romantic-Comedy
410;Laggies;A24;Romantic-Comedy
411;Hasee Toh Phasee;Reliance Entertai…;Romantic-Comedy
412;Casse-tÃªte chinois;Cohen Media Group;Romantic-Comedy
413;Happy Ending;Eros Entertainment;Romantic-Comedy
414;Aa Gaye Munde U.K. De;Yash Raj Films;Romantic-Comedy
415;Girl on a Bicycle;Monterey Media;Romantic-Comedy
416;Lucky Them;IFC Films;Romantic-Comedy
417;The M Word;;Romantic-Comedy
418;Christian Mingle, The Movie;Rocky Mountain Pi…;Romantic-Comedy
419;Hank and Asha;FilmRise;Romantic-Comedy
420;Two Night Stand;Entertainment One;Romantic-Comedy
421;Barefoot;Roadside Attractions;Romantic-Comedy
422;Amour & turbulences;Variance Films;Romantic-Comedy
423;Comet;IFC Films;Romantic-Comedy
424;El misterio de la felicidad;Strand;Romantic-Comedy
425;Don Jon;Relativity;Romantic-Comedy
426;Situation amoureuse: C'est …;Distrib Films;Romantic-Comedy
428;Trainwreck;Universal;Romantic-Comedy
429;I'll See You in My Dreams;Bleecker Street;Romantic-Comedy
430;Dilwale;UTV Communications;Romantic-Comedy
431;A La Mala;Lionsgate;Romantic-Comedy
432;Xia Luo Te Fan Nao;China Lion Film D…;Romantic-Comedy
433;Big Stone Gap;Picturehouse;Romantic-Comedy
434;Sleeping with Other People;IFC Films;Romantic-Comedy
435;Zan men jie hun ba;China Lion Film D…;Romantic-Comedy
436;Katti Batti;UTV Communications;Romantic-Comedy
437;After the Ball;Pacific Northwest…;Romantic-Comedy
438;5 to 7;IFC Films;Romantic-Comedy
439;Only You;China Lion Film D…;Romantic-Comedy
440;Amira & Sam;Drafthouse Films;Romantic-Comedy
441;Les combattants;Strand;Romantic-Comedy
442;Slow Learners;IFC Films;Romantic-Comedy
443;Boy Meets Girl;Bramacharia LLC;Romantic-Comedy
444;Love, Rosie;Film Arcade;Romantic-Comedy
445;B-Side;Indican Pictures;Romantic-Comedy
446;Meet Me in Montenegro;The Orchard;Romantic-Comedy
447;One Small Hitch;Freestyle Releasing;Romantic-Comedy
448;This Isn't Funny;Candy Factory Films;Romantic-Comedy
449;La navaja de Don Juan;Indican Pictures;Romantic-Comedy
450;Me, You and Five Bucks;Indican Pictures;Romantic-Comedy
