Id;Title;Distributor;Genre
485;By Hook or by Crook;Artistic License;Drama
486;Otomo;ArtMattan Films;Drama
487;The Lonely Affair of the Heart;;Drama
488;Adanggaman;New Yorker;Drama
489;âR Xmas;Pathfinder;Drama
491;Seabiscuit;Universal;Drama
492;Catch Me if You Can;Dreamworks SKG;Drama
493;Mystic River;Warner Bros.;Drama
494;About Schmidt;New Line;Drama
495;Radio;Sony Pictures;Drama
496;Mona Lisa Smile;Sony Pictures;Drama
497;Cold Mountain;Miramax;Drama
498;Secondhand Lions;New Line;Drama
499;The Hours;Paramount Pictures;Drama
500;Lost in Translation;Focus Features;Drama
501;The Pianist;Focus Features;Drama
502;Gangs of New York;Miramax;Drama
503;Honey;Universal;Drama
504;Whale Rider;Newmarket Films;Drama
505;Confessions of a Dangerous …;Miramax;Drama
506;Antwone Fisher;Fox Searchlight;Drama
507;How to Deal;New Line;Drama
508;Gods and Generals;Warner Bros.;Drama
509;The Quiet American;Miramax;Drama
510;25th Hour;Walt Disney;Drama
511;Confidence;Lionsgate;Drama
512;Dark Blue;MGM;Drama
513;Big Fish;Sony Pictures;Drama
514;Dirty Pretty Things;Miramax;Drama
515;21 Grams;Focus Features;Drama
516;Hable con ella;Sony Pictures Cla…;Drama
517;Nowhere in Africa;Zeitgeist;Drama
518;American Splendor;Fine Line;Drama
519;Luther;RS Entertainment;Drama
520;House of Sand and Fog;Dreamworks SKG;Drama
521;The Human Stain;Miramax;Drama
522;In America;Fox Searchlight;Drama
523;Seraphin un Homme et Son;Odeon Films;Drama
524;Les invasions barbares;Miramax;Drama
525;The Magdalene Sisters;Miramax;Drama
526;Cidade de Deus;Miramax;Drama
527;The Station Agent;Miramax;Drama
528;Far From Heaven;Focus Features;Drama
529;Thirteen;Fox Searchlight;Drama
530;Frida;Miramax;Drama
531;Rabbit-Proof Fence;Miramax;Drama
532;Beyond Borders;Paramount Pictures;Drama
533;Scarface;Universal;Drama
534;Better Luck Tomorrow;Paramount Pictures;Drama
535;The Secret Lives of Dentists;Manhattan Picture…;Drama
536;Laurel Canyon;Sony Pictures Cla…;Drama
537;The Good Thief;Fox Searchlight;Drama
538;The Gospel of John;ThinkFilm;Drama
539;L'homme du train;Paramount Vantage;Drama
540;The Dancer Upstairs;Fox Searchlight;Drama
541;Russkiy kovcheg;WellSpring;Drama
542;Shattered Glass;Lionsgate;Drama
543;Raising Victor Vargas;Samuel Goldwyn Films;Drama
544;Sur Le Seuil;Alliance Atlantis;Drama
545;Kal Ho Naa Ho;Yash Raj Films;Drama
546;The Cooler;Lionsgate;Drama
547;Spider;Sony Pictures Cla…;Drama
548;Veronica Guerin;Walt Disney;Drama
549;8 Mile;Universal;Drama
550;Northfork;Paramount Vantage;Drama
551;Nicholas Nickleby;United Artists;Drama
552;Sylvia;Focus Features;Drama
553;Elephant;Fine Line;Drama
554;Main Prem Ki Diwani Hoon;Yash Raj Films;Drama
555;El crimen de padre Amaro;Goldwyn Entertain…;Drama
556;He ni zai yi qi;United Artists;Drama
557;The Book of Mormon Movie, V…;Distributor Unknown;Drama
558;Respiro;Sony Pictures Cla…;Drama
559;Wonderland;Lionsgate;Drama
560;Owning Mahowny;Sony Pictures Cla…;Drama
561;Assassination Tango;MGM;Drama
562;Baghban;Eros Entertainment;Drama
563;Empire;Universal;Drama
564;Gaz Bar Blues;Odeon Films;Drama
565;Girl with a Pearl Earring;Lionsgate;Drama
566;Irreversible;Lionsgate;Drama
567;And now... Ladies and Gentl…;Paramount Vantage;Drama
568;The Shape of Things;Focus Features;Drama
569;Koiâ¦ Mil Gaya;Yash Raj Films;Drama
570;The Holy Land;CAVU Releasing;Drama
571;L.O.C. (Kargil);Eros Entertainment;Drama
572;Poolhall Junkies;Gold Circle Films;Drama
573;China: The Panda Adventure;IMAX Films;Drama
574;All the Real Girls;Sony Pictures Cla…;Drama
575;Masked and Anonymous;Sony Pictures;Drama
576;Time Changer;Five & Two Pictures;Drama
577;Cremaster 3;Palm Pictures;Drama
578;Blizzard;;Drama
579;Casa de los Babys;IFC Films;Drama
580;Blue Car;Miramax;Drama
581;Max;Lionsgate;Drama
582;Monster;Newmarket Films;Drama
583;Lockdown;;Drama
584;Evelyn;MGM;Drama
585;My Life Without Me;Sony Pictures;Drama
586;Divine Intervention;Avatar;Drama
587;City of Ghosts;MGM;Drama
588;The Safety of Objects;;Drama
589;Apollo 13;Universal;Drama
590;The Company;Sony Pictures;Drama
591;Sweet Sixteen;;Drama
592;Armaan;;Drama
593;Amen;Kino International;Drama
594;Encounter in the Third Dime…;nWave Pictures;Drama
595;Alexandra's Project;Film Movement;Drama
596;Civil Brand;Lionsgate;Drama
597;Tuck Everlasting;Walt Disney;Drama
598;Saathiya;;Drama
599;La face cachÃ©e de la lune;TLA Releasing;Drama
600;The Emperor's Club;Universal;Drama
601;Intacto;;Drama
602;Tully;;Drama
603;Madame SatÃ£;;Drama
604;Yossi & Jagger;;Drama
605;Ararat;Miramax;Drama
606;Lilja 4-ever;Newmarket Films;Drama
607;Love Liza;;Drama
608;Taking Sides;New Yorker;Drama
609;Secretary;Lionsgate;Drama
610;Friday Night (Vendredi Soir);;Drama
611;Jibeuro;;Drama
612;Open Hearts;;Drama
613;Quai des Orfevres;;Drama
614;11'09''01 - September 11;Empire Pictures;Drama
615;Charlotte Sometimes;Small Planet;Drama
